Thu Feb 17 03:12:51 2022  {매도종료}
Thu Feb 17 03:13:21 2022  {탐색} 전략2
Thu Feb 17 03:14:32 2022  탐색된 코인이 없음
Thu Feb 17 03:14:32 2022  {탐색종료}
Thu Feb 17 03:14:42 2022  {매도}
Thu Feb 17 03:14:47 2022  매도한 종목 없음
Thu Feb 17 03:14:47 2022  {매도종료}
Thu Feb 17 03:15:17 2022  {탐색} 전략2
Thu Feb 17 03:16:28 2022  탐색된 코인이 없음
Thu Feb 17 03:16:28 2022  {탐색종료}
Thu Feb 17 03:16:38 2022  {매도}
Thu Feb 17 03:16:43 2022  매도한 종목 없음
Thu Feb 17 03:16:43 2022  {매도종료}
Thu Feb 17 03:17:13 2022  {탐색} 전략2
Thu Feb 17 03:18:24 2022  탐색된 코인이 없음
Thu Feb 17 03:18:24 2022  {탐색종료}
Thu Feb 17 03:18:34 2022  {매도}
Thu Feb 17 03:18:38 2022  매도한 종목 없음
Thu Feb 17 03:18:38 2022  {매도종료}
Thu Feb 17 03:19:08 2022  {탐색} 전략2
Thu Feb 17 03:20:28 2022  탐색된 코인이 없음
Thu Feb 17 03:20:28 2022  {탐색종료}
Thu Feb 17 03:20:38 2022  {매도}
Thu Feb 17 03:20:43 2022  매도한 종목 없음
Thu Feb 17 03:20:43 2022  {매도종료}
Thu Feb 17 03:21:13 2022  {탐색} 전략2
Thu Feb 17 03:22:24 2022  탐색된 코인이 없음
Thu Feb 17 03:22:24 2022  {탐색종료}
Thu Feb 17 03:22:34 2022  {매도}
Thu Feb 17 03:22:39 2022  매도한 종목 없음
Thu Feb 17 03:22:39 2022  {매도종료}
Thu Feb 17 03:23:09 2022  {탐색} 전략2
Thu Feb 17 03:24:21 2022  탐색된 코인이 없음
Thu Feb 17 03:24:21 2022  {탐색종료}
Thu Feb 17 03:24:31 2022  {매도}
Thu Feb 17 03:24:35 2022  매도한 종목 없음
Thu Feb 17 03:24:35 2022  {매도종료}
Thu Feb 17 03:25:05 2022  {탐색} 전략2
Thu Feb 17 03:26:16 2022  탐색된 코인이 없음
Thu Feb 17 03:26:16 2022  {탐색종료}
Thu Feb 17 03:26:26 2022  {매도}
Thu Feb 17 03:26:31 2022  매도한 종목 없음
Thu Feb 17 03:26:31 2022  {매도종료}
Thu Feb 17 03:27:01 2022  {탐색} 전략2
Thu Feb 17 03:28:12 2022  탐색된 코인이 없음
Thu Feb 17 03:28:12 2022  {탐색종료}
Thu Feb 17 03:28:22 2022  {매도}
Thu Feb 17 03:28:27 2022  매도한 종목 없음
Thu Feb 17 03:28:27 2022  {매도종료}
Thu Feb 17 03:28:57 2022  {탐색} 전략2
Thu Feb 17 03:30:16 2022  탐색된 코인이 없음
Thu Feb 17 03:30:16 2022  {탐색종료}
Thu Feb 17 03:30:26 2022  {매도}
Thu Feb 17 03:30:32 2022  매도한 종목 없음
Thu Feb 17 03:30:32 2022  {매도종료}
Thu Feb 17 03:31:02 2022  {탐색} 전략2
Thu Feb 17 03:32:23 2022  탐색된 코인이 없음
Thu Feb 17 03:32:23 2022  {탐색종료}
Thu Feb 17 03:32:33 2022  {매도}
Thu Feb 17 03:32:39 2022  매도한 종목 없음
Thu Feb 17 03:32:39 2022  {매도종료}
Thu Feb 17 03:33:09 2022  {탐색} 전략2
Thu Feb 17 03:34:31 2022  탐색된 코인이 없음
Thu Feb 17 03:34:31 2022  {탐색종료}
Thu Feb 17 03:34:41 2022  {매도}
Thu Feb 17 03:34:46 2022  매도한 종목 없음
Thu Feb 17 03:34:46 2022  {매도종료}
Thu Feb 17 03:35:16 2022  {탐색} 전략2
Thu Feb 17 03:36:40 2022  탐색된 코인이 없음
Thu Feb 17 03:36:40 2022  {탐색종료}
Thu Feb 17 03:36:50 2022  {매도}
Thu Feb 17 03:36:55 2022  매도한 종목 없음
Thu Feb 17 03:36:55 2022  {매도종료}
